folder,intersection,union,average
31,0,3203,34
74,1,819,12
516,0,58,1
519,0,21639,491
595,0,20651,469
600,91,329,6
650,16,2844,67
760,0,18647,433
804,0,61,1
976,0,18386,437
2579,6,1317,54
2581,5,1739,62
2604,0,0,0
2613,0,11990,479
2662,0,1001,38
2703,0,0,0
2735,9,4933,197
2781,2,2724,100
2869,43,43,1
2897,124,391,15
2926,95,95,4
2930,25,25,1
2937,7,1582,63
3223,0,0,0
3272,1,1573,65
3353,0,0,0
3355,36,2271,98
3395,0,1900,82
3462,0,0,0
3503,29,2121,96
3549,3,1458,63
3610,0,10610,482
3632,0,0,0
3657,0,260,10
3670,10,2555,111
3675,34,1385,62
3707,2,3,0
4022,46,638,30
4076,11,1610,94
4133,12,1976,94
4192,11,1610,94
4195,0,2544,121
4204,896,896,448
4229,9,1995,99
4230,28,3108,148
4254,0,260,11
4280,2,2126,106
4288,0,260,21
4308,0,1,0
4322,0,260,11
4338,0,260,10
4348,20,20,1
4356,49,49,3
4407,31,1501,75
4408,0,260,10
4460,2,1393,73
4470,9,4511,225
4471,21,21,1
4487,0,260,10
4501,0,260,10
4540,21,21,1
4550,0,260,10
4571,0,260,11
4573,0,260,11
4595,21,21,1
4604,27,1295,64
4609,0,260,10
4632,0,0,0
4635,0,260,10
4641,0,260,10
4654,0,3003,150
4667,0,260,10
4677,0,260,11
4715,0,260,11
4719,0,260,10
4723,0,260,11
4725,0,260,11
4752,0,260,12
4771,0,260,10
4772,0,260,11
4780,0,260,10
4797,0,0,0
4810,0,260,10
4826,0,260,10
4850,0,260,12
4856,0,260,10
4872,0,260,11
4875,0,260,12
4876,0,260,10
4901,0,260,10
4906,0,260,13
4929,0,260,10
4957,0,260,12
4958,0,260,11
4969,0,260,11
4970,0,0,0
4985,0,260,11
4992,0,3220,178
4996,0,260,13
5007,0,260,11
5010,0,260,10
5022,11,2829,176
5031,33,1201,66
5036,0,260,10
5051,21,21,1
5056,0,260,11
5062,0,260,11
5069,0,260,11
5071,0,260,13
5074,0,260,11
5079,28,1169,64
5081,0,260,11
5082,0,260,10
5088,0,260,12
5091,0,260,11
5118,0,1988,104
5126,0,260,12
5136,0,260,13
5143,2,4890,287
5145,312,778,45
5151,0,260,11
5153,0,260,12
5154,21,2431,143
