folder,cells,originalEntities,actualEntities,intersection,originalHeader,actualHeader,intersectionHeader,class
31,2640,141,141,141,1,1,1,schema
31,2640,141,139,21,1,1,1,schema
31,2640,141,138,25,1,1,1,schema
31,2640,141,138,21,1,1,1,schema
31,2640,141,139,25,1,1,1,schema
31,2640,141,139,28,1,1,1,schema
31,2640,141,139,20,1,1,1,schema
31,2640,141,140,17,1,1,1,schema
31,2640,141,141,22,1,1,1,schema
31,2640,141,140,23,1,1,1,schema
31,2640,141,140,16,1,1,1,schema
31,2640,141,138,15,1,1,1,schema
31,2640,141,139,17,1,1,1,schema
31,2640,141,138,13,1,1,1,schema
31,2640,141,139,10,1,1,1,schema
31,2640,141,140,11,1,1,1,schema
31,2640,141,139,13,1,1,1,schema
31,2640,141,137,13,1,1,1,schema
31,2640,141,140,12,1,1,1,schema
31,2640,141,142,11,1,1,1,schema
31,2640,141,142,9,1,1,1,schema
31,2640,141,142,10,1,1,1,schema
31,2640,141,140,8,1,1,1,schema
31,2640,141,139,9,1,1,1,schema
31,2640,141,140,9,1,1,1,schema
31,2640,141,138,7,1,1,1,schema
31,2640,141,142,8,1,1,1,schema
31,2640,141,142,7,1,1,1,schema
31,2640,141,139,9,1,1,1,schema
31,2640,141,140,7,1,1,1,schema
31,2640,141,139,7,1,1,1,schema
31,2640,141,139,6,1,1,1,schema
31,2640,141,141,7,1,1,1,schema
31,2640,141,139,6,1,1,1,schema
31,2640,141,139,5,1,1,1,schema
31,2640,141,140,6,1,1,1,schema
31,2640,141,141,6,1,1,1,schema
31,2640,141,138,9,1,1,1,schema
31,2640,141,138,7,1,1,1,schema
31,2640,141,139,6,1,1,1,schema
31,2640,141,149,6,1,1,1,schema
31,2640,141,147,5,1,1,1,schema
31,2640,141,146,6,1,1,1,schema
31,2640,141,144,5,1,1,1,schema
31,2640,141,145,6,1,1,1,schema
31,2640,141,145,4,1,1,1,schema
31,2640,141,143,3,1,1,1,schema
31,2640,141,142,3,1,1,1,schema
31,2640,141,143,4,1,1,1,schema
31,2640,141,142,3,1,1,1,schema
31,2640,141,143,3,1,1,1,schema
31,2640,141,147,3,1,1,1,schema
31,2640,141,146,3,1,1,1,schema
31,2640,141,144,3,1,1,1,schema
31,2640,141,144,3,1,1,1,schema
31,2640,141,145,4,1,1,1,schema
31,2640,141,145,4,1,1,1,schema
31,2640,141,147,3,1,1,1,schema
31,2640,141,147,3,1,1,1,schema
31,2640,141,144,3,1,1,1,schema
31,2640,141,145,2,1,1,1,schema
31,2640,141,146,1,1,1,1,schema
31,2640,141,145,1,1,1,1,schema
31,2640,141,146,2,1,1,1,schema
31,2640,141,146,1,1,1,1,schema
31,2640,141,143,2,1,1,1,schema
31,2640,141,144,3,1,1,1,schema
31,2640,141,148,6,1,1,1,schema
31,2640,141,145,5,1,1,1,schema
31,2640,141,145,5,1,1,1,schema
31,2640,141,145,4,1,1,1,schema
31,2640,141,145,4,1,1,1,schema
31,2640,141,146,4,1,1,1,schema
31,2640,141,145,4,1,1,1,schema
31,2640,141,145,5,1,1,1,schema
31,2640,141,144,5,1,1,1,schema
31,2640,141,145,4,1,1,1,schema
31,2640,141,148,3,1,1,1,schema
31,2640,141,147,3,1,1,1,schema
31,2640,141,146,4,1,1,1,schema
31,2640,141,145,4,1,1,1,schema
31,2640,141,144,4,1,1,1,schema
31,2640,141,145,3,1,1,1,schema
31,2640,141,145,5,1,1,1,schema
31,2640,141,145,4,1,1,1,schema
31,2640,141,146,3,1,1,0,schema
31,2640,141,147,4,1,1,0,schema
31,2640,141,145,3,1,1,0,schema
31,2640,141,145,3,1,1,0,schema
31,2640,141,145,3,1,1,0,schema
31,2640,141,145,3,1,1,0,schema
31,2640,141,145,3,1,1,0,schema
74,216,48,48,48,2,2,2,irregular
74,216,48,61,33,2,2,2,irregular
74,216,48,57,31,2,2,2,irregular
74,216,48,57,31,2,2,2,irregular
74,216,48,57,31,2,2,2,irregular
74,216,48,57,31,2,2,2,irregular
74,216,48,57,31,2,2,2,irregular
74,216,48,66,33,2,2,2,irregular
74,216,48,63,31,2,2,2,irregular
74,216,48,63,4,2,2,2,irregular
74,216,48,63,31,2,2,2,irregular
74,216,48,63,31,2,2,2,irregular
74,216,48,63,31,2,2,2,irregular
74,216,48,65,33,2,2,2,irregular
74,216,48,64,25,2,2,2,irregular
74,216,48,63,31,2,2,2,irregular
74,216,48,63,31,2,2,2,irregular
74,216,48,63,31,2,2,2,irregular
74,216,48,65,33,2,2,2,irregular
74,216,48,65,5,2,2,2,irregular
74,216,48,63,9,2,2,2,irregular
