folder,sizeOriginal,sizeDaff,evolution,patch,quality,sameHeader
31,7248253,129539,3896,10388,3840,0
74,194530,166142,152,109,106,0
98,14212611,913893,20471,237332,10327,0
516,5821423,595450,2023,10137,1452,1
519,3345829,286812,1292,6907,811,1
595,1406511,147580,487,1640,320,0
600,146694,192404,129,99,60,1
650,2670206,249783,2085,11781,1092,0
760,414174,40288,140,201,106,1
804,14652845,1707715,10374,78436,4596,1
976,761862,81984,235,527,167,1
2579,746937,96966,1007,2645,476,0
2581,1356261,202740,1031,3416,534,0
2604,3571462,5336766,26469,9559,1330,1
2613,1145684,1767897,2600,1688,263,0
2662,989147,554841,480,662,240,1
2703,494,1069,15,10,11,1
2735,4302313,749192,2913,18725,1006,1
2781,947999,189549,379,1147,217,0
2869,47431,27059,39,30,25,1
2897,4400704,406554,6387,47813,5320,0
2926,10398045,699495,3530,57763,3078,1
2930,8850537,682706,3268,27656,2551,1
2937,12339824,8501599,96875,215078,7859,1
3223,495441,57727,466,931,429,1
3272,75736,8114,55,44,41,1
3353,596127,70440,300,608,209,1
3355,6007287,270745,10211,18785,10403,1
3395,765273,99157,306,1283,205,0
3462,4955026,337580,2930,31836,2868,1
3503,1266360,213734,662,3443,354,0
3549,18963356,13060348,178915,399240,14680,1
3610,6707468,11974429,154108,71534,3237,1
3632,440330,23522,222,44,140,1
3657,719674,139515,784,160,405,0
3670,668761,118836,266,1003,177,0
3675,9495555,986396,26024,244063,9339,0
3707,154469,14521,54,71,42,1
4022,4532327,445376,2319,2902,2212,1
4076,5083201,323425,4927,46544,4303,1
4133,1386993,160443,698,4724,435,0
4192,5083201,323425,5017,46463,4326,1
4195,108719,28739,53,51,37,0
4204,17512741,1309314,127381,730341,123843,1
4229,637504,79219,233,1075,173,0
4230,449024,55478,171,489,109,0
4254,114819,36175,220,25,162,0
4280,666912,157071,263,754,156,0
4288,700470,142227,821,152,409,0
4308,10590048,619517,46433,75078,38520,1
4322,222013,71058,278,36,169,0
4338,572724,243421,772,173,360,0
4348,138913,15896,54,77,45,1
4356,12735556,2120294,62786,368400,26168,1
4407,1114184,184390,542,2889,308,0
4408,227039,81008,460,34,245,0
4460,992784,90111,373,1448,249,1
4470,3438987,724463,2644,14252,801,1
4471,25435,19631,27,15,15,0
4487,151329,62400,289,33,146,0
4501,524244,207253,1031,176,481,0
4540,25448,19630,25,17,15,0
4550,199190,54948,345,30,177,0
4571,118987,46220,218,23,109,0
4573,124051,48830,250,28,122,0
4595,25348,19564,23,16,15,0
4604,2096585,289656,1541,10292,719,0
4609,218359,82521,372,46,168,0
4632,1408,1855,11,9,9,1
4635,259103,90198,402,41,206,0
4641,547202,231666,1028,229,484,0
4654,6116014,1206861,11552,68454,2519,0
4667,199887,88309,324,95,205,0
4677,645830,162715,670,147,355,0
4715,171213,65492,251,39,121,0
4719,525591,199583,715,153,297,0
4723,196968,78029,332,39,175,0
4725,146585,47032,192,31,94,0
4752,87204,23206,119,18,45,0
4771,1736296,764324,2759,915,1100,0
4772,450597,157060,604,135,251,0
4780,284918,115561,417,132,271,0
4797,288344,18182,228,105,140,1
4810,150416,62361,311,30,154,0
4826,498503,173600,815,166,449,0
4850,877968,201433,734,180,426,0
4856,235916,66398,473,36,226,0
4872,453102,172078,715,142,338,0
4875,82146,31136,153,22,83,0
4876,1807767,231901,9756,462,4857,0
4901,479647,231897,709,155,379,0
4906,140150,35781,442,23,213,0
4929,569395,228276,774,145,440,0
4957,112809,43134,203,29,123,0
4958,185270,46590,387,29,160,0
4969,1104736,637120,1962,640,726,0
4970,96424,8057,36,68,32,1
4985,480804,210976,789,141,423,0
4992,605908,181740,1296,325,728,1
4996,81892,14224,174,17,46,0
5007,412012,111124,426,65,224,0
5010,1595504,1092910,4737,2214,1269,0
5022,1505025,214481,888,7899,584,0
5031,11233882,1229100,44620,450623,16178,0
5036,447040,127986,1415,86,674,0
5051,25434,19619,24,16,16,0
5056,211940,67839,493,38,236,0
5062,157124,40488,250,26,131,0
5069,443008,170164,600,141,335,0
5071,311170,41423,275,97,210,0
5074,164535,61380,316,29,168,0
5079,2300091,264656,2075,15249,899,0
5081,151216,84776,269,89,178,0
5082,277841,106457,545,44,261,0
5088,264230,100761,302,45,142,0
5091,219433,74598,516,34,258,0
5118,10147113,1538472,18242,180254,5515,1
5126,123107,25915,248,20,127,0
5136,1853768,393833,2046,842,1000,0
5143,153033,58999,56,42,38,1
5145,2618500,159421,2848,5734,2685,1
5151,184717,56887,337,35,129,0
5153,452055,191104,747,130,309,0
5154,11884332,14202281,2676666,1005401,115867,1
5155,562927,181957,820,164,368,0
5161,823137,172873,703,227,382,0
5166,1778640,393616,1356,327,699,0
5169,2263646,564095,2099,1157,974,0
5171,510094,327098,355,526,140,1
5174,1765089,382027,1258,259,734,0
5178,935357,205615,1014,149,470,0
5180,206813,67538,329,36,160,0
5204,290358,101694,461,39,211,0
5208,669900,304187,862,168,402,0
5210,251794,125116,470,99,263,0
5225,2200140,134556,2024,4026,2053,1
5235,270796,108714,431,46,204,0
5236,2439334,316765,2455,16812,980,0
5239,215780,86280,449,39,231,0
5243,2080405,3816517,30910,12816,1306,0
5256,33582,3393,25,20,23,1
5257,3780092,314686,1161,11390,1073,1
5260,286785,19405,663,57,319,1
5262,286214,120792,626,104,346,0
5266,148326,63533,426,29,217,0
5270,212643,70445,358,38,191,0
5272,216192,93308,265,93,177,0
5273,789191,261884,1612,181,763,0
5280,418151,103295,207,774,113,1
5292,659541,134427,2448,176,1142,0
5306,384081,67995,157,421,100,0
5309,285237,40993,102,271,76,0
5318,48688,16159,80,13,43,0
5329,2344160,1217967,3114,1284,1083,0
5331,484839,263349,751,218,393,0
5335,211240,64298,417,45,197,0
5352,550159,72079,235,965,135,0
5361,659995,116662,316,1442,175,0
5362,537366,271992,884,141,433,0
5365,645135,247097,854,194,419,0
5370,506020,88739,225,787,124,0
5379,2480454,301390,1324,15966,987,1
5380,213132,71794,314,34,175,0
5384,320198,175979,688,138,429,0
5394,225674,81657,512,36,252,0
5396,191798,53982,397,28,198,0
5397,163986,73176,340,43,166,0
5402,200633,69419,322,37,145,0
5422,901927,249156,902,102,429,0
5432,353193,150414,635,136,350,0
5446,77627,144255,90,63,49,1
5447,2032431,609361,3352,864,1476,0
5450,351442,82099,383,44,145,0
5459,739863,252099,854,220,382,0
5460,484083,213144,978,126,451,0
5470,437788,212039,941,212,463,0
5473,460744,223563,622,132,306,0
5475,432306,177561,675,123,279,0
5478,765075,259354,942,142,466,0
5482,275860,80821,654,36,334,0
5483,272160,128140,493,115,290,0
5486,447344,235969,673,135,298,0
5504,1265316,418867,1394,292,643,0
5507,246923,88076,537,41,248,0
5515,345613,100064,642,48,306,0
5517,263649,97252,616,45,311,0
5519,227217,102054,636,112,330,0
5527,461049,154516,573,124,301,0
5530,536096,206261,702,143,322,0
5531,217041,57283,577,35,244,0
5535,683001,332336,1153,160,521,0
5536,232039,70451,533,34,266,0
5540,6165995,2912496,17596,93027,2539,1
5557,506821,252391,710,150,394,0
5561,274631,91362,509,46,253,0
5567,490979,235733,706,116,270,0
5578,399814,94667,420,112,201,0
5597,256832,96450,490,36,226,0
5612,542263,264284,753,183,387,0
5615,197394,49790,673,32,244,0
5621,853843,131184,543,2324,232,0
5626,404121,188209,995,143,526,0
5627,924136,167542,549,2548,247,0
5633,431818,95917,203,670,114,0
5634,481048,106374,243,843,131,0
5637,382021,83886,311,48,135,0
5640,2200486,1070927,3648,1036,1182,0
5647,290866,113572,551,50,306,0
5648,104482,27827,48,65,32,0
5661,180197,72807,368,30,186,0
5666,184473,48471,286,28,132,0
5669,232221,116554,539,96,306,0
5671,526353,231751,931,132,418,0
5672,465543,122535,190,492,105,0
5680,383678,90586,125,370,88,1
5683,674111,186894,721,151,363,0
5684,858479,329983,1046,178,488,0
5685,177543,42180,77,131,50,0
5689,544621,87666,281,1164,150,0
5692,126208,59011,150,85,119,0
5696,196795,88582,354,91,214,0
5703,559537,302004,932,145,404,0
5705,307202,121917,657,133,346,0
5706,2611098,594266,2270,414,1081,0
5709,1348382,518409,1814,310,801,0
5712,414385,217030,717,123,305,0
5715,292930,42390,259,556,248,1
5718,218622,72215,496,36,244,0
5719,110782,40286,145,29,77,0
5721,432179,175138,453,141,224,0
5723,158605,31765,304,21,123,0
5724,251200,103531,365,65,213,0
5725,179468,41297,189,35,115,0
5728,587909,190120,430,140,227,0
5736,451422,198077,717,122,324,0
5738,286287,100143,621,40,307,0
5739,169207,41456,88,112,53,1
5740,753310,172555,701,164,383,0
5743,611372,243810,1085,2161,246,0
5744,853006,223506,311,1278,172,1
5746,690725,273206,765,166,370,0
5756,118975,45630,225,29,119,0
5757,567336,303375,955,204,351,0
5764,192830,56618,285,37,149,0
5767,164387,64561,293,32,153,0
5773,1069803,170381,781,5159,420,0
5774,190295,75420,309,34,151,0
5782,315797,48724,346,34,137,0
5785,551107,284900,1017,229,462,0
5787,377420,133716,985,62,452,0
5789,846133,179385,274,1238,175,1
5792,384049,213069,614,72,318,0
5794,263270,83006,726,61,341,0
5809,283883,96730,532,45,257,0
5812,336746,86906,1083,45,567,0
5813,383599,76278,154,587,107,0
5817,654788,325063,1030,208,420,0
5818,280622,67855,284,35,139,0
5820,114296,18191,63,60,38,1
5837,418895,143961,600,110,285,0
5845,432857,261878,818,126,391,0
5847,606440,443503,623,934,157,1
5848,454684,231015,820,121,369,0
5852,186127,74760,457,34,256,0
5853,141724,118688,91,53,65,1
5875,401173,164866,664,111,341,0
5880,801776,303201,557,1479,178,1
5883,487668,275343,797,136,335,0
5894,10106054,3476297,47992,30897,19803,0
5903,231238,88943,474,102,248,0
5907,324810,106503,700,101,365,0
5923,77101,20548,37,37,24,0
5927,419505,167337,498,169,261,0
5928,215995,88231,406,60,215,0
5932,491348,230043,824,198,393,0
5933,3837,5616,12,9,7,1
5935,845996,373539,1139,231,498,0
5940,450316,231975,685,125,291,0
5945,2505372,1021886,5171,1467,2202,0
5951,970568,312874,965,277,490,0
5953,3579671,538205,5916,84298,2356,1
5958,461042,213092,691,142,314,0
5961,117361,36391,52,83,34,0
5962,1909347,521435,2594,804,988,0
5964,712844,407799,1129,250,511,0
5969,285774,129533,641,131,393,0
5970,637164,174539,540,85,301,0
5974,6950656,1333883,14399,122705,3796,1
5987,477204,326119,924,163,388,0
5990,767404,176338,1104,191,595,0
5995,306413,123786,575,70,303,0
6003,390818,212741,707,166,331,0
6006,673053,290050,716,148,323,0
6009,1258413,426999,1818,620,786,0
6013,561345,227217,766,153,363,0
6014,178935,68408,173,33,92,0
6015,223498,82964,408,93,247,0
6019,24786,4972,21,21,13,1
6022,421233,147312,601,115,335,0
6023,1097882,322828,1207,233,558,0
6025,449485,228234,692,128,302,0
6026,31867,6579,18,17,15,0
6029,260916,75793,754,41,396,0
6031,1661607,526253,3008,8207,557,1
6042,475164,159846,1466,134,754,0
6045,495694,236656,690,145,364,0
6047,521416,217717,1262,134,684,0
6051,85948,29232,44,56,29,0
6054,577953,360193,1215,204,479,0
6058,616898,197766,578,141,291,0
6059,128569,43122,77,112,35,0
6060,3521927,499231,4030,82355,2381,1
6064,297080,82720,849,35,420,0
6066,139926,30943,57,105,38,0
6070,366596,133418,797,117,410,0
6071,492229,316198,840,189,346,0
6073,614877,239904,749,139,379,0
6076,337796,53618,106,347,74,1
6079,155792,82432,282,89,190,0
6088,543809,211325,687,145,326,0
6091,126510,13242,138,113,50,1
6092,579229,226459,876,125,395,0
6095,424819,131734,612,108,263,0
6099,477333,78846,231,864,126,0
6103,366978,156906,481,119,272,0
6105,1624632,241860,1398,8142,833,0
6113,2572208,1136969,2719,558,1222,0
6115,251624,109589,394,42,203,0
6117,3189485,735186,4201,1007,2299,0
6122,291235,89868,582,45,272,0
6125,338355,77053,430,106,199,0
6134,1391910,1970311,3737,2416,2098,1
6140,268493,102689,510,47,254,0
6143,232808,75183,789,38,299,0
6144,53085,22415,36,32,19,0
6145,856698,153068,711,3339,264,0
6146,89245,38401,52,67,45,1
6151,317543,66945,214,609,130,0
6154,231625,98412,743,61,298,0
6157,661833,182207,823,198,500,0
6161,271132,101781,908,144,460,0
6162,1212973,711717,3966,1091,1777,0
6166,409242,190033,1623,170,872,0
6169,425640,194268,1350,147,693,0
6171,7126209,1362983,88444,618560,72744,1
6172,1703158,596347,5228,1447,2030,0
6173,929484,164615,1361,6265,595,0
6176,572628,272263,1325,262,766,0
6177,453603,273284,1547,231,664,0
6178,39516,146289,889,169,47,0
6187,269487,109632,592,171,370,0
6201,251937,79837,1267,103,535,0
6202,69579,8089,63,95,63,1
6203,553081,278307,1719,275,843,0
6205,320218,129534,1302,99,579,0
6206,355747,144840,1488,190,728,0
6208,388814,83402,773,161,329,0
6210,501376,65311,249,756,255,1
6212,318337,95539,1341,185,515,0
6214,550492,188596,456,1584,286,1
6216,338344,127699,1382,78,711,0
6218,464794,188961,1476,258,577,0
6222,366106,150666,1085,207,548,0
6223,398589,154742,1506,184,1061,0
6226,158083,50087,138,252,98,0
6228,146067,36610,118,232,95,0
6229,215703,38548,148,345,132,0
6237,739395,363800,1699,326,728,0
6240,692148,317716,1898,294,745,0
6245,1075424,439519,2922,514,1371,0
6255,273618,73381,1043,83,483,0
6256,196508,24454,144,214,130,1
6257,565471,261948,1479,215,1273,0
6259,61738,18802,60,66,55,0
