folder,sizeOriginal,sizeDaff,evolution,patch,quality,numberOfVersions,originalRows,originalColumns,addedRows,deletedRows,modifiedRows,addedColumns,deletedColumns,modifiedColumns,totalChanged,changedCells,sizeZip,sizeZipDaff
31,6936693,126897,3896,10388,3840,92,1320,2,0.005097167,8.23E-06,6.34E-04,0,0,0,1317,0.005422431,2098371,46951
74,166816,165803,152,109,106,66,18,12,0.005892256,0.001683502,1.194444444,0.002525253,0.002525253,0,1631085,114.413931,87220,83024
98,14609270,921000,20471,237332,10327,56,1858,18,9.51E-04,4.81E-05,0.023642934,0.001984127,0,0,14642613,7.818300208,4071195,202603
516,5524334,589086,2023,10137,1452,42,157,22,0.009099181,0.001364877,0,0,0,0,1494,0.010298619,1367095,114507
519,3235981,286304,1292,6907,811,44,64,13,0.154829545,0.008167614,0.067826705,0,0,0,6214,0.169744318,335408,51337
595,1354197,147344,487,1640,320,44,40,13,0.121022727,0.002272727,0.06875,0.01048951,0,0,1158083,50.61551573,202572,39390
600,167627,192822,129,99,60,51,27,15,0.011619463,0.013071895,0.91503268,0,0,0,1994,0.096538368,51294,57937
650,2754624,251436,2085,11781,1092,42,452,18,0.007216603,0,0.035556258,0.002645503,0,0,1313516,3.84392705,905974,73649
760,399186,40246,140,201,106,43,7,13,0.205980066,0.003322259,0.106312292,0,0,0,855,0.218502428,78320,17607
804,13834147,1691259,10374,78436,4596,41,407,22,0.027266735,0.009168814,0,0,0,0,13325,0.036296627,1717695,169492
976,730656,81928,235,527,167,42,10,13,0.3,0.007142857,0.164285714,0,0,0,1754,0.321245421,111549,26224
2579,775760,97825,1007,2645,476,24,235,18,0.009219858,0,0.063120567,0.00462963,0,0,341450,3.363376675,232960,26264
2581,1390700,203413,1031,3416,534,28,200,18,0.035892857,0,0.084464286,0.003968254,0,0,1077110,10.68561508,447085,60051
2604,3274165,5325755,26469,9559,1330,27,1000,6,0.459333333,0.459333333,0.50362963,0,0,0,166727,1.029179012,306285,474884
2613,1138534,1768103,2600,1688,263,25,117,20,0.003418803,3.42E-04,0.929230769,0.008,0,0,15555524,265.9063932,205604,304272
2662,986231,554701,480,662,240,26,76,18,5.06E-04,0.037955466,0.903846154,0,0,0,3093,0.086960189,158637,107718
2703,494,1069,15,10,11,26,1,1,0.961538462,0.961538462,0,0,0,0,50,1.923076923,3894,5078
2735,4295992,748538,2913,18725,1006,25,312,32,0.007051282,0.006153846,0.097820513,0,0,0,4082,0.016354167,423666,76641
2781,945481,189357,379,1147,217,27,162,24,0.014403292,0.018061271,0.10608139,0.00154321,0.00154321,0,142662,1.358996342,88907,23707
2869,37543,26675,39,30,25,24,11,16,0.003787879,0,1.034090909,0,0,0,516,0.122159091,20148,13037
2897,4063514,394856,6387,47813,5320,25,3918,7,0.012547218,0.003011741,0.016038795,0,0,0,14075,0.020527966,1248687,79978
2926,10397593,699477,3530,57763,3078,22,500,20,0.002454545,0.002454545,0.004636364,0,0,0,1229,0.005586364,1658018,49945
2930,8850463,682704,3268,27656,2551,20,500,11,0.0057,0.0057,6.00E-04,0,0,0,1260,0.011454545,859374,32440
2937,9923300,8406103,96875,215078,7859,25,1774,27,0.001668546,9.02E-04,0.970552424,0,0,0,46252,0.038625412,1492267,1233332
3223,495441,57727,466,931,429,19,2313,2,0.007827611,0.007099461,0.002070676,0,0,0,1403,0.015962409,145097,12637
3272,75189,8066,55,44,41,24,89,3,0.013576779,0,0.013108614,0,0,0,140,0.02184769,37645,7470
3353,608402,70952,300,608,209,24,511,4,8.15E-05,1.63E-04,0.041666667,0,0,0,948,0.019324853,251181,18541
3355,6213521,279635,10211,18785,10403,23,5185,1,5.45E-04,0,0,0,0,0,65,5.45E-04,1320927,8258
3395,781032,99766,306,1283,205,23,180,18,0.006038647,0,0.058454106,0.004830918,0,0,181093,2.430126141,274062,27026
3462,5074586,342720,2930,31836,2868,23,1471,9,7.68E-04,0,0.010581385,0,0,0,613,0.002013156,1221760,44286
3503,1285583,214696,662,3443,354,22,283,18,0.021040797,1.61E-04,0.036941857,0.005050505,0,0,853860,7.619124103,437170,60786
3549,18899517,13056453,178915,399240,14680,23,1791,23,5.34E-04,4.86E-05,0.950841162,0,0,0,61386,0.064791506,2794473,1903326
3610,6616320,11972669,154108,71534,3237,22,1088,21,4.18E-05,8.77E-04,0.947526738,0,0,0,305911,0.608589174,1446516,2881219
3632,154132,10513,222,44,140,22,77,1,0.012396694,0.012396694,0,0,0,0,42,0.024793388,52552,6545
3657,384552,127281,784,160,405,25,459,1,0.085490196,0.085490196,0,0.16,0.16,0,292706,25.50814815,157425,43252
3670,682555,119429,266,1003,177,23,161,18,0.013502565,0,0.08047529,0.004830918,0,0,313293,4.700288055,227342,34365
3675,9760654,995074,26024,244063,9339,22,2478,18,3.85E-04,5.50E-05,0.037126715,0.005050505,0,0,7874475,8.024631912,2880973,172268
3707,154427,14519,54,71,42,21,99,5,0.054834055,0,0,0,0,0,570,0.054834055,69677,8801
4022,4436228,440711,2319,2902,2212,21,1045,1,0.013716108,0.013807245,0,0,0,0,604,0.027523354,1201183,61401
4076,4401319,284677,4927,46544,4303,17,2452,9,0.003694463,1.44E-04,4.08E-04,0,0,0,1467,0.003910373,1127121,19739
4133,1418170,162048,698,4724,435,21,442,18,0.003447533,0,0.055268261,0.005291005,0,0,849190,5.082656994,461914,37765
4192,4401319,284677,5017,46463,4326,17,2452,9,0.003694463,1.44E-04,4.08E-04,0,0,0,1467,0.003910373,1127121,19739
4195,108218,28699,53,51,37,21,30,17,0.019047619,0.019047619,0.133333333,0.00280112,0,0,3246,0.303081232,27442,10539
4204,17512531,1309304,127381,730341,123843,21,19125,4,0.008301276,3.49E-05,0.019473389,0,0,0,21213,0.013204482,2729337,127850
4229,652560,79960,233,1075,173,20,201,18,0.001741294,0,0.067412935,0.005555556,0,0,172178,2.379463792,206035,19756
4230,457068,55820,171,489,109,21,119,18,0.0020008,0.00160064,0.040816327,0.005291005,0,0,46080,1.024409764,151493,15827
4254,42030,35218,220,25,162,23,38,1,0.167048055,0.167048055,0,0.173913043,0.173913043,0,79800,91.30434783,23893,17804
4280,665231,156875,263,754,156,20,156,24,0.018910256,0.021474359,0.123076923,0.002083333,0.002083333,0,106840,1.426816239,64688,18443
4288,346787,129328,821,152,409,23,459,1,0.092924126,0.092924126,0,0.173913043,0.173913043,0,295694,28.00928294,146730,43982
4308,10590048,619517,46433,75078,38520,20,1,1,572.25,3.1,0,0,0,0,11507,575.35,694419,44112
4322,86104,68536,278,36,169,23,78,1,0.175585284,0.175585284,0,0.260869565,0.260869565,0,174726,97.39464883,34348,26689
4338,339992,237932,772,173,360,25,468,1,0.18042735,0.18042735,0,0.32,0.32,0,2480920,212.0444444,125177,74344
4348,138877,15894,54,77,45,18,103,3,0.061488673,0,0,0,0,0,684,0.122977346,64371,8262
4356,11579628,2070072,62786,368400,26168,22,6163,11,0.01877775,0.012700426,0.06600239,0,0,0,64028,0.04293015,3424203,443171
4407,1143408,185262,542,2889,308,20,269,18,0.024907063,1.86E-04,0.054832714,0.005555556,0,0,565555,5.840097067,367544,48738
4408,58570,80058,460,34,245,26,38,1,0.327935223,0.327935223,0,0.384615385,0.384615385,0,432212,437.4615385,30430,34664
4460,983524,89619,373,1448,249,19,337,10,0.002186475,0.001717945,0.012494143,0,0,0,356,0.005559894,167426,13578
4470,3434548,723809,2644,14252,801,20,312,32,0.007371795,0.005288462,0.113942308,0,0,0,3313,0.016591546,338141,67718
4471,25435,19631,27,15,15,18,12,9,0,0,0,0.160493827,0.160493827,0,1053108,541.7222222,16963,13608
4487,45009,62410,289,33,146,25,21,1,0.356190476,0.356190476,0,0.32,0.32,0,147138,280.2628571,22109,27351
4501,304608,202877,1031,176,481,25,454,1,0.169867841,0.169867841,0,0.32,0.32,0,1828454,161.0972687,106035,61315
4540,25448,19630,25,17,15,18,12,9,0,0,0,0.160493827,0.160493827,0,1053108,541.7222222,17045,13619
4550,53965,54121,345,30,177,25,35,1,0.214857143,0.214857143,0,0.24,0.24,0,136002,155.4308571,23059,22646
4571,31664,46134,218,23,109,23,16,1,0.350543478,0.350543478,0,0.260869565,0.260869565,0,78030,212.0380435,18072,21533
4573,38624,48840,250,28,122,23,21,1,0.298136646,0.298136646,0,0.260869565,0.260869565,0,80246,166.1407867,19256,21924
4595,25348,19564,23,16,15,18,12,9,0,0,0,0.160493827,0.160493827,0,1053108,541.7222222,16758,13495
4604,2140753,291546,1541,10292,719,20,565,18,0.01079646,4.42E-04,0.03840708,0.005555556,0,0,1010209,4.966612586,652060,62705
4609,71274,82621,372,46,168,25,51,1,0.258039216,0.28,0,0.36,0.36,0,303710,238.2039216,32480,33674
4632,1232,1847,11,9,9,22,1,2,0.772727273,0.772727273,0,0,0,0,68,1.545454545,3913,4913
4635,91444,87695,402,41,206,24,78,1,0.220619658,0.220619658,0,0.333333333,0.333333333,0,286216,152.8931624,36569,33194
4641,299154,198712,1028,229,484,25,23,1,3.347826087,3.346086957,0,0.32,0.32,0,1790808,3114.448696,104351,61811
4654,6094159,1205423,11552,68454,2519,20,1012,27,0.018725296,0.012895257,0.054249012,0.001851852,0,0,1864313,3.411493559,491139,80771
4667,54707,55115,324,95,205,24,24,1,0.289930556,0.270833333,0,0.208333333,0.208333333,0,94032,163.25,23115,20715
4677,335670,151483,670,147,355,23,459,1,0.095008052,0.136212939,0,0.217391304,0.217391304,0,563818,53.40702851,134501,50262
4715,72948,64307,251,39,121,23,83,1,0.172865375,0.172865375,0,0.260869565,0.260869565,0,138790,72.70298586,34574,26887
4719,319674,194598,715,153,297,24,469,1,0.134328358,0.173862829,0,0.291666667,0.291666667,0,935336,83.09665956,116100,60242
4723,64306,77228,332,39,175,23,76,1,0.237414188,0.237414188,0,0.347826087,0.347826087,0,337316,192.97254,30386,31276
4725,66064,45694,192,31,94,22,78,1,0.126456876,0.126456876,0,0.181818182,0.181818182,0,56598,32.98251748,30629,19907
4752,23807,23221,119,18,45,21,13,1,0.271062271,0.234432234,0,0.142857143,0.142857143,0,25298,92.66666667,13779,12863
4771,976767,732204,2759,915,1100,24,1347,1,0.212045286,0.212045286,0,0.416666667,0.416666667,0,5361240,165.8389013,196394,129439
4772,300294,153258,604,135,251,23,464,1,0.104291604,0.14552099,0,0.217391304,0.217391304,0,1741000,163.1371814,107667,47294
4780,98181,82608,417,132,271,24,24,1,0.737847222,0.630208333,0,0.291666667,0.291666667,0,274214,476.0659722,40909,30908
4797,248938,16108,228,105,140,19,456,1,0.002077562,0.002077562,0,0,0,0,36,0.004155125,80819,5604
4810,44068,62371,311,30,154,24,21,1,0.367063492,0.367063492,0,0.333333333,0.333333333,0,135154,268.1626984,21506,27001
4826,293404,169224,815,166,449,24,454,1,0.135921439,0.135921439,0,0.25,0.25,0,755668,69.35279001,102157,51111
