file,versions,size,average
1,213,429296,2015.474178
31,92,7248253,78785.3587
62,66,11109745,168329.4697
63,66,8589855,130149.3182
72,63,408726,6487.714286
74,66,194530,2947.424242
91,1,0,0
92,55,80286167,1459748.491
97,62,535638,8639.322581
98,56,14212611,253796.625
256,47,44838127,954002.7021
463,57,9461982,165999.6842
516,42,5821423,138605.3095
519,44,3345829,76041.56818
537,42,22487802,535423.8571
556,42,63293821,1506995.738
582,42,30754305,732245.3571
583,44,2666383,60599.61364
591,44,2257751,51312.52273
595,44,1406511,31966.15909
600,51,146694,2876.352941
603,43,4271397,99334.81395
606,44,7216587,164013.3409
612,42,16081203,382885.7857
627,47,46401973,987276.0213
633,44,2700897,61384.02273
650,42,2670206,63576.33333
711,51,81709984,1602156.549
716,43,2959639,68828.81395
724,41,6651541,162232.7073
754,41,52347940,1276779.024
759,50,936970,18739.4
760,43,414174,9631.953488
804,41,14652845,357386.4634
817,49,5497966,112203.3878
933,42,1442559,34346.64286
975,40,13334802,333370.05
976,42,761862,18139.57143
983,40,15400252,385006.3
1017,41,959860,23411.21951
1020,50,4538307,90766.14
1030,48,12673711,264035.6458
1198,40,854455,21361.375
1201,43,6406605,148990.814
1203,40,676213,16905.325
1318,50,1899442,37988.84
1324,38,4448485,117065.3947
1390,48,13954180,290712.0833
1410,49,1814516,37030.93878
1418,53,1659776,31316.5283
1421,51,3345347,65595.03922
1436,41,962427,23473.82927
1438,45,844345,18763.22222
1441,40,6103039,152575.975
1447,40,1094218,27355.45
1453,39,15557413,398908.0256
1460,42,868258,20672.80952
1464,40,525524,13138.1
1474,41,1249457,30474.56098
1479,46,376781,8190.891304
1481,49,478077,9756.673469
1483,41,726688,17724.09756
1486,40,705222,17630.55
1490,40,1894817,47370.425
1501,40,11239607,280990.175
1507,40,13229715,330742.875
1509,41,16117426,393107.9512
1527,41,18328144,447027.9024
1531,41,17283227,421542.122
1532,56,3120993,55732.01786
1541,45,338239,7516.422222
1542,48,4007666,83493.04167
1548,40,10031952,250798.8
1554,44,21604510,491011.5909
1560,41,18727156,456759.9024
1566,43,3795053,88257.04651
1567,50,1814503,36290.06
1591,49,19648155,400982.7551
1598,42,14061198,334790.4286
1603,43,376493,8755.651163
1607,42,16110436,383581.8095
1611,40,2830075,70751.875
1612,40,21342024,533550.6
1618,45,637948,14176.62222
1624,51,1329712,26072.78431
1628,40,19525944,488148.6
1635,43,269896,6276.651163
1643,39,21823254,559570.6154
1644,42,3896346,92770.14286
1645,46,411334,8942.043478
1653,43,352213,8191
1656,47,395161,8407.680851
1657,42,9603288,228649.7143
1659,46,10168391,221051.9783
1664,35,10195405,291297.2857
