folder,size,versions
31,2098371,92
74,87220,66
98,4071195,56
516,1367095,42
519,335408,44
595,202572,44
600,51294,51
650,905974,42
760,78320,43
804,1717695,41
976,111549,42
2579,232960,24
2581,447085,28
2604,306285,27
2613,205604,25
2662,158637,26
2703,3894,26
2735,423666,25
2781,88907,27
2869,20148,24
2897,1248687,25
2926,1658018,22
2930,859374,20
2937,1492267,25
3223,145097,19
3272,37645,24
3353,251181,24
3355,1320927,23
3395,274062,23
3462,1221760,23
3503,437170,22
3549,2794473,23
3610,1446516,22
3632,52552,22
3657,157425,25
3670,227342,23
3675,2880973,22
3707,69677,21
4022,1201183,21
4076,1127121,17
4133,461914,21
4192,1127121,17
4195,27442,21
4204,2729337,21
4229,206035,20
4230,151493,21
4254,23893,23
4280,64688,20
4288,146730,23
4308,694419,20
4322,34348,23
4338,125177,25
4348,64371,18
4356,3424203,22
4407,367544,20
4408,30430,26
4460,167426,19
4470,338141,20
4471,16963,18
4487,22109,25
4501,106035,25
4540,17045,18
4550,23059,25
4571,18072,23
4573,19256,23
4595,16758,18
4604,652060,20
4609,32480,25
4632,3913,22
4635,36569,24
4641,104351,25
4654,491139,20
4667,23115,24
4677,134501,23
4715,34574,23
4719,116100,24
4723,30386,23
4725,30629,22
4752,13779,21
4771,196394,24
4772,107667,23
4780,40909,24
4797,80819,19
4810,21506,24
4826,102157,24
4850,181833,21
4856,25793,26
4872,102059,22
4875,16960,21
4876,45791,24
4901,102310,24
4906,19729,20
4929,113125,24
4957,24722,21
4958,26262,23
4969,175696,23
4970,23793,18
4985,97577,23
4992,57908,18
4996,18985,19
5007,47989,22
5010,414076,24
5022,500539,16
5031,3227864,18
5036,40943,24
5051,16799,18
5056,30435,23
5062,19687,22
5069,99801,23
5071,78756,19
5074,24041,23
5079,747744,18
5081,21836,22
5082,36945,25
5088,59370,21
5091,28280,23
5118,682676,19
5126,15230,21
5136,240912,20
5143,58861,17
5145,590021,17
5151,28084,22
5153,95443,21
5154,1674260,17
5155,116308,21
5161,112831,21
5166,275857,22
5169,354920,21
5171,191947,18
5174,182009,22
5178,21076,21
5180,31025,22
5204,37903,24
5208,132723,23
5210,33319,22
5225,419776,17
5235,36998,23
5236,775738,17
5239,33144,22
5243,623754,17
5256,16973,17
5257,900620,15
5260,26238,17
5262,29908,24
5266,21469,22
5270,29608,23
5272,30286,20
5273,49152,22
5280,128932,17
5292,47659,19
5306,138859,19
5309,94139,18
5318,10982,19
5329,360550,23
5331,97177,22
5335,30583,21
5352,176155,16
5361,208242,17
5362,95811,23
5365,118058,23
5370,169297,16
5379,775842,15
5380,31012,20
5384,37275,25
5394,28707,21
5396,21892,22
5397,33889,20
5402,32518,21
5422,81829,22
5432,39814,25
5446,28978,16
5447,77819,22
5450,35479,20
5459,144668,21
5460,85490,23
5470,83428,20
5473,88041,21
5475,96015,19
5478,124074,21
5482,25390,23
5483,35559,23
5486,92571,22
5504,203217,24
5507,34383,23
5515,38260,25
5517,26673,23
5519,22360,21
5527,99068,21
5530,109451,20
5531,27299,20
5535,119043,24
5536,28476,21
5540,1096746,17
5557,96670,21
5561,32592,21
5567,90464,20
5578,98610,17
5597,32663,21
5612,95502,21
5615,24694,18
5621,280454,15
5626,40437,26
5627,293222,15
5633,150346,16
5634,155122,16
5637,43994,18
5640,275103,21
5647,34335,21
5648,41024,14
5661,20930,20
5666,26047,18
5669,25410,22
5671,96244,22
5672,46839,15
5680,97718,15
5683,123791,19
5684,144806,22
5685,70121,16
5689,169522,15
5692,24188,17
5696,25841,19
5703,101565,23
5705,35422,22
5706,397212,21
5709,160166,24
5712,82774,20
5715,85538,11
5718,23872,22
5719,22250,18
5721,95353,19
5723,15872,19
5724,34647,21
5725,37943,17
5728,141787,18
5736,84965,21
5738,32948,23
5739,49275,16
5740,140933,19
5743,147487,12
5744,139225,14
5746,131869,20
5756,24005,16
5757,102615,20
5764,30379,17
5767,26519,18
5773,319308,13
5774,25546,18
5782,36790,15
5785,95382,22
5787,39296,24
5789,138440,14
5792,45232,21
5794,25641,21
5809,35596,21
5812,32031,20
5813,136636,14
5817,113767,21
5818,27934,16
5820,27568,19
5837,89144,18
5845,83178,20
5847,69731,14
5848,85185,19
5852,24670,19
5853,29576,14
5875,79930,19
5880,180894,14
5883,95045,20
5894,900216,18
5903,38328,18
5907,27549,22
5923,19461,15
5927,89194,18
5928,21793,21
5932,88082,20
5933,4346,16
5935,140013,21
5940,90649,19
5945,247894,19
5951,171224,18
5953,618767,14
5958,90426,19
5961,46079,13
5962,244224,19
5964,114579,23
5969,37764,20
5970,65140,17
5974,468218,13
5987,74366,18
5990,109683,21
5995,32037,20
6003,67206,18
6006,101522,18
6009,154090,18
6013,82889,20
6014,46448,16
6015,29410,18
6019,6103,13
6022,86282,17
6023,89828,18
6025,86378,18
6026,14673,13
6029,27734,18
6031,185837,14
6042,41992,18
6045,96029,19
6047,37466,20
6051,33584,13
6054,98616,20
6058,119977,16
6059,45508,12
6060,603719,13
6064,25230,21
6066,54939,13
6070,38456,22
6071,85753,19
6073,105804,19
6076,40861,13
6079,18033,17
6088,93732,18
6091,21381,14
6092,94788,20
6095,85791,18
6099,168866,13
6103,78545,16
6105,474126,13
6113,317292,22
6115,31553,19
6117,447303,20
6122,26156,21
6125,80174,15
6134,445537,13
6140,31978,18
6143,22266,19
6144,20520,12
6145,280912,12
6146,28141,13
6151,117472,12
6154,29514,18
6157,122489,16
6161,27361,17
6162,53575,18
6166,64634,20
6169,40255,19
6171,618415,11
6172,207738,17
6173,311285,13
6176,107396,17
6177,81605,18
6178,15910,12
6187,31936,17
6201,27624,18
6202,12690,12
6203,93424,18
6205,41714,20
6206,37498,22
6208,86147,13
6210,148795,12
6212,63181,15
6214,129334,11
6216,34475,21
6218,87960,16
6222,37699,17
6223,37418,21
6226,49803,12
6228,55942,12
6229,77459,15
6237,120187,20
6240,121322,19
6245,127477,22
6255,27029,17
6256,20212,12
6257,104840,18
6259,24410,12
6261,59492,14
6263,583758,12
6267,75353,22
6271,67082,18
6272,21643,16
6273,197047,12
6274,24598,19
6275,55760,16
6282,868428,17
6283,75844,16
6290,15719,15
6294,28570,18
6297,305805,13
6298,35967,19
6299,26548,14
6300,35140,17
6301,26809,18
6305,98030,20
6308,203740,17
6309,41800,16
6316,42182,18
6321,36501,21
6326,95419,20
6329,169789,12
6335,24153,16
6337,35092,17
6343,176581,12
6345,247195,14
6347,124751,12
6348,113970,14
6353,103682,19
6356,87443,15
6358,52060,17
6360,12397,11
6362,50208,12
6365,53664,14
6367,61911,19
6370,70383,15
6372,84577,21
6374,324791,12
6377,62417,17
6378,47588,11
6381,198377,16
6382,82479,14
6391,143496,12
6393,48899,15
6400,123028,13
6402,22410,17
6403,8480,11
6406,29933,16
6407,84384,16
6408,167031,16
6409,121045,12
6410,1849227,12
6416,24234,18
6417,5293,11
6423,31584,16
6427,25705,16
6428,80505,18
6429,29337,17
6434,41887,19
6436,209933,15
6443,21712,16
6447,89646,13
6450,22286,18
6454,30862,17
6459,115894,20
6460,34590,11
6462,41531,22
6464,122496,21
6466,101272,15
6467,38844,21
6468,347506,16
6471,62824,16
6473,326133,12
6474,380698,11
